video,track_id,seg_id,lvl,bucket,n_pred,model,iou,diou,expand,traceP
MVI_63554,43,0,full,long,55,EKF + CTRV,0.0,-0.6765289461892193,7.000000000000005,672009.7579894866
MVI_63554,43,0,full,long,55,UKF + CTRV,0.0,-0.5344254530385558,3.7000000000000024,91830.41272146876
MVI_63554,56,0,full,medium,30,KF + CV,0.0,-0.9349281878245665,inf,12175.772842125469
MVI_63554,56,0,full,medium,30,EKF + CTRV,0.0,-0.9527966807216434,inf,288074.0728384457
MVI_63554,56,0,full,medium,30,UKF + CTRV,0.0,-0.8892181295513926,inf,98828.68378015426
MVI_63554,64,0,full,medium,37,KF + CV,0.0,-0.570403842985885,4.5000000000000036,18535.19896345503
MVI_63554,64,0,full,medium,37,EKF + CTRV,0.0,-0.6617919426950877,9.900000000000007,450976.7159042904
MVI_63554,64,0,full,medium,37,UKF + CTRV,0.0,-0.5561821463032481,7.400000000000006,120052.88457516895
MVI_63554,68,0,full,long,51,KF + CV,0.0,-0.5224497536429087,3.400000000000002,54481.21639198935
MVI_63554,68,0,full,long,51,EKF + CTRV,0.0,-0.5523570508618941,3.7000000000000024,617449.8483397445
MVI_63554,68,0,full,long,51,UKF + CTRV,0.0,-0.3506243256174855,1.7000000000000006,146029.99942590867
MVI_63554,77,0,full,medium,20,KF + CV,0.056191843141585,-0.10129916743094987,1.0,5147.096907175548
MVI_63554,77,0,full,medium,20,EKF + CTRV,0.023971098120170294,-0.18927460811133462,1.0,33239.02140080182
MVI_63554,77,0,full,medium,20,UKF + CTRV,0.07863635571247342,-0.0850063717248034,1.0,24254.092291036864
